alias,csv_column,modality,type,log_transformed,alr_transformed,alr_reference
pb_naive_cd4_treg_il6_jak_stat3,pb.naive_cd4_treg_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_naive_cd4_treg_inflammatory,pb.naive_cd4_treg_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_naive_cd4_treg_tnfa_nfkb,pb.naive_cd4_treg_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_pdc_ifn_alpha,pb.pdc_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_pdc_ifn_gamma,pb.pdc_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_pdc_il2_stat5,pb.pdc_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_pdc_il6_jak_stat3,pb.pdc_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_pdc_inflammatory,pb.pdc_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_pdc_tnfa_nfkb,pb.pdc_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_transitional_b_cell_ifn_alpha,pb.transitional_b_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_transitional_b_cell_ifn_gamma,pb.transitional_b_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_transitional_b_cell_il2_stat5,pb.transitional_b_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_transitional_b_cell_il6_jak_stat3,pb.transitional_b_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_transitional_b_cell_inflammatory,pb.transitional_b_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_transitional_b_cell_tnfa_nfkb,pb.transitional_b_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
wb_adipogenesis,wb.adipogenesis,wb,continuous,FALSE,FALSE,NA
wb_allograft_rejection,wb.allograft_rejection,wb,continuous,FALSE,FALSE,NA
wb_androgen_response,wb.androgen_response,wb,continuous,FALSE,FALSE,NA
wb_angiogenesis,wb.angiogenesis,wb,continuous,FALSE,FALSE,NA
wb_apical_junction,wb.apical_junction,wb,continuous,FALSE,FALSE,NA
wb_apical_surface,wb.apical_surface,wb,continuous,FALSE,FALSE,NA
wb_apoptosis,wb.apoptosis,wb,continuous,FALSE,FALSE,NA
wb_bile_acid_metabolism,wb.bile_acid_metabolism,wb,continuous,FALSE,FALSE,NA
wb_cholesterol_homeostasis,wb.cholesterol_homeostasis,wb,continuous,FALSE,FALSE,NA
wb_coagulation,wb.coagulation,wb,continuous,FALSE,FALSE,NA
wb_complement,wb.complement,wb,continuous,FALSE,FALSE,NA
wb_dna_repair,wb.dna_repair,wb,continuous,FALSE,FALSE,NA
wb_e2f_targets,wb.e2f_targets,wb,continuous,FALSE,FALSE,NA
wb_epithelial_mesenchymal_transition,wb.epithelial_mesenchymal_transition,wb,continuous,FALSE,FALSE,NA
wb_estrogen_response_early,wb.estrogen_response_early,wb,continuous,FALSE,FALSE,NA
wb_estrogen_response_late,wb.estrogen_response_late,wb,continuous,FALSE,FALSE,NA
wb_fatty_acid_metabolism,wb.fatty_acid_metabolism,wb,continuous,FALSE,FALSE,NA
wb_g2_m_checkpoint,wb.g2_m_checkpoint,wb,continuous,FALSE,FALSE,NA
wb_glycolysis,wb.glycolysis,wb,continuous,FALSE,FALSE,NA
